,DATE,TEMP,DEWP,VISIB,WDSP,MAXTEMP,MINTEMP,PREC,SNF
85,2010-04-27,50.8,34.2,10.0,2.7,69,31,0.00,0.0
86,2010-04-28,68.2,27.8,10.0,9.1,76,49,0.00,0.0
87,2010-04-29,49.5,32.5,8.2,6.6,69,31,0.31,1.3
88,2010-04-30,45.0,18.5,10.0,4.8,53,28,T,T
89,2010-05-01,46.2,28.6,10.0,3.5,58,30,0.00,0.0
90,2010-05-02,48.3,27.1,10.0,6.3,55,32,T,0.0
91,2010-05-03,52.2,27.8,10.0,5.2,65,34,0.00,0.0
92,2010-05-04,65.9,23.2,10.0,16.7,70,50,T,0.0
93,2010-05-05,55.4,21.9,10.0,9.4,64,36,0.00,0.0
94,2010-05-06,51.0,34.1,9.9,3.8,60,34,0.16,0.0
95,2010-05-07,44.1,31.7,9.0,3.3,54,28,0.14,0.9
96,2010-05-08,47.4,24.7,10.0,4.0,55,30,0.00,0.0
97,2010-05-09,54.3,34.5,10.0,1.9,70,33,T,0.0
98,2010-05-10,59.8,39.7,9.6,3.9,65,41,0.00,0.0
99,2010-05-11,48.6,36.7,10.0,4.6,59,39,0.13,0.0
100,2010-05-12,38.0,36.3,6.7,4.2,40,32,1.13,4.7
101,2010-05-13,41.8,35.6,7.6,2.2,51,28,0.07,T
102,2010-05-14,49.3,41.6,9.4,2.0,56,33,0.24,0.0
103,2010-05-15,51.6,46.1,8.6,1.5,61,37,0.21,0.0
104,2010-05-16,53.8,41.2,10.0,2.8,67,35,0.00,0.0
105,2010-05-17,61.8,42.1,10.0,2.6,74,40,0.00,0.0
106,2010-05-18,62.3,49.3,10.0,2.5,74,51,T,0.0
107,2010-05-19,58.2,44.9,10.0,3.9,67,39,0.20,0.0
108,2010-05-20,59.8,49.3,9.6,3.5,69,44,0.00,0.0
109,2010-05-21,62.7,49.7,10.0,2.0,74,45,0.00,0.0
110,2010-05-22,75.0,32.2,10.0,9.1,86,51,0.00,0.0
111,2010-05-23,61.7,35.0,10.0,4.4,81,41,0.00,0.0
112,2010-05-24,63.5,36.5,10.0,8.1,71,44,0.00,0.0
113,2010-05-25,61.4,25.3,10.0,6.8,71,45,0.00,0.0
114,2010-05-26,64.3,50.2,10.0,2.9,74,45,0.00,0.0
115,2010-05-27,68.5,55.9,10.0,2.7,84,49,T,0.0
116,2010-05-28,75.1,44.6,10.0,3.6,91,54,0.00,0.0
117,2010-05-29,76.3,38.8,10.0,6.2,87,54,0.33,0.0
118,2010-05-30,59.5,46.3,9.6,3.1,70,43,0.10,0.0
119,2010-05-31,66.2,40.0,10.0,3.3,79,43,0.00,0.0
120,2010-06-01,68.9,41.4,10.0,3.1,77,49,0.00,0.0
121,2010-06-02,67.7,44.0,10.0,5.2,79,50,0.00,0.0
122,2010-06-03,69.6,45.3,10.0,2.6,82,53,0.00,0.0
123,2010-06-04,74.3,46.0,10.0,2.3,90,54,0.00,0.0
124,2010-06-05,77.7,47.8,10.0,4.8,89,58,0.00,0.0
125,2010-06-06,74.8,55.4,10.0,2.9,88,54,0.00,0.0
126,2010-06-07,75.7,60.1,10.0,3.6,89,55,0.00,0.0
127,2010-06-08,74.3,58.8,10.0,5.2,86,61,0.03,0.0
128,2010-06-09,69.0,57.1,9.9,2.5,82,51,0.00,0.0
129,2010-06-10,74.2,55.5,10.0,3.7,79,54,0.04,0.0
130,2010-06-11,68.0,56.2,9.7,2.5,72,56,1.01,0.0
131,2010-06-12,55.4,53.5,7.1,5.1,58,46,1.36,0.0
132,2010-06-13,53.2,51.0,7.0,4.8,52,46,0.55,0.0
133,2010-06-14,56.0,50.5,9.9,2.2,65,46,0.19,0.0
134,2010-06-15,67.0,41.2,10.0,4.0,78,45,0.00,0.0
135,2010-06-16,70.0,43.2,10.0,3.0,85,49,0.00,0.0
136,2010-06-19,72.9,53.8,10.0,2.4,80,55,T,0.0
137,2010-06-20,73.6,57.9,10.0,2.8,79,54,T,0.0
138,2010-06-21,73.6,58.7,9.1,2.3,81,54,0.07,0.0
139,2010-06-22,75.0,49.8,10.0,2.7,85,50,0.00,0.0
140,2010-06-23,73.6,43.7,10.0,3.9,85,48,0.00,0.0
141,2010-06-24,74.4,48.0,10.0,2.6,90,49,0.00,0.0
142,2010-06-25,83.2,38.7,10.0,2.6,94,55,0.00,0.0
143,2010-06-26,83.4,41.7,10.0,5.2,88,62,0.11,0.0
144,2010-06-27,70.8,53.0,10.0,2.5,79,52,0.00,0.0
145,2010-06-28,76.7,50.1,10.0,1.1,87,53,0.00,0.0
146,2010-06-29,79.7,44.8,10.0,1.8,90,56,0.00,0.0
147,2010-06-30,78.6,42.8,10.0,2.8,91,51,0.00,0.0
148,2010-07-01,80.3,42.6,10.0,4.2,89,57,0.01,0.0
149,2010-07-02,79.8,50.8,9.8,5.9,84,59,0.35,0.0
150,2010-07-03,79.3,50.7,10.0,4.0,91,56,0.03,0.0
151,2010-07-04,74.5,52.2,10.0,3.6,82,59,T,0.0
152,2010-07-05,69.0,47.0,9.8,5.1,84,45,0.41,0.0
153,2010-07-06,74.7,43.2,10.0,2.3,86,49,0.00,0.0
154,2010-07-07,63.7,56.6,8.1,5.2,83,52,1.08,0.0
155,2010-07-08,63.9,56.5,9.0,2.9,70,50,0.05,0.0
156,2010-07-09,67.9,54.1,10.0,1.6,79,47,0.00,0.0
