DATE,DEWP,VISIB,WDSP,MAXTEMP,MINTEMP,PREC,SNF
28-04-2000,31.5,10,8.5,72,33,0,0
29-04-2000,37.7,9.8,9.2,82,37,0.29,0
30-04-2000,36.4,9.1,17.7,50,37,0.08,0
01-05-2000,31.9,9.9,6,64,36,0,0
02-05-2000,34.7,9.9,8.9,75,42,0,0
03-05-2000,37.1,9.9,10,77,46,0,0
04-05-2000,36.9,9.9,8.8,87,50,0,0
05-05-2000,34.2,9.9,11.1,89,54,0,0
06-05-2000,39.4,9.9,7.7,80,45,0,0
07-05-2000,38.2,9.9,9.6,83,48,0,0
08-05-2000,39,9.6,11.1,48,33,0.32,0
09-05-2000,34.4,9.7,7.1,70,34,0,0
10-05-2000,39.5,9.9,10.9,81,42,0,0
11-05-2000,36.7,9.4,13.5,67,38,0,0
12-05-2000,18.9,10,17.5,56,28,0,0
13-05-2000,13.3,9.9,8.1,65,23,0,0
14-05-2000,23.7,9.9,7.4,70,36,0,0
15-05-2000,26.8,10,8,84,38,0,0
16-05-2000,28.2,9.9,9.5,88,47,0,0
17-05-2000,32.7,7.5,16.8,64,38,1.77,0
18-05-2000,32.4,8.4,13.6,51,39,0.23,0
19-05-2000,36,9.6,5.6,66,39,0,0
20-05-2000,39.8,9.9,7.3,65,45,0,0
21-05-2000,40.1,9.9,8.2,75,44,0,0
22-05-2000,40.3,10,8.6,84,54,0,0
23-05-2000,41.2,10,11.7,89,57,0,0
24-05-2000,48.5,10,8.2,75,47,0.25,0
25-05-2000,52.2,9.7,8.3,76,48,0.52,0
26-05-2000,48.5,9.9,8.5,73,48,0,0
27-05-2000,40.8,10,7.2,76,43,0,0
28-05-2000,41.7,9.9,11.7,89,51,0,0
29-05-2000,46.1,10,8.8,92,53,0,0
30-05-2000,48.1,10,7.8,77,52,0,0
31-05-2000,53.6,9.3,9.1,83,53,0,0
01-06-2000,42.4,10,9.2,70,43,0,0
02-06-2000,42.9,10,8.5,77,45,0,0
03-06-2000,42.2,10,9.8,89,52,0,0
04-06-2000,43.4,9.9,7.7,74,50,0,0
05-06-2000,43.4,9.9,9.1,83,45,0,0
06-06-2000,39.7,10,8.2,93,50,0,0
07-06-2000,32.6,10,7.9,94,63,0,0
08-06-2000,34.5,9.9,10.5,95,56,0,0
09-06-2000,39.3,10,8.4,91,56,0,0
10-06-2000,35.6,9.9,12.4,84,43,0.05,0
11-06-2000,41.5,9.9,9.7,85,52,0,0
12-06-2000,35.1,10,9.7,92,55,0,0
13-06-2000,31.4,9.9,11.9,83,52,0,0
14-06-2000,37.3,9.9,6.8,81,42,0,0
15-06-2000,35.5,9.9,14.1,91,51,0,0
16-06-2000,37.3,9.9,9.3,54,44,0.15,0
17-06-2000,42.1,8.4,4.9,63,43,0.24,0
18-06-2000,39.3,9.9,7.9,88,46,0,0
19-06-2000,43.5,10,10.8,84,55,0,0
20-06-2000,37.8,9.9,9.1,81,49,0,0
21-06-2000,35,9.9,7,83,39,0,0
22-06-2000,38.5,9.9,8.6,93,55,0,0
23-06-2000,38.3,9.9,8.4,91,57,0,0
24-06-2000,37.9,9.9,9.1,92,53,0,0
25-06-2000,43.8,10,10.4,85,55,0.1,0
26-06-2000,52.4,8.9,8.5,66,53,0.25,0
27-06-2000,51.8,6.2,5.1,74,51,0,0
28-06-2000,50.7,10,6.9,73,53,0,0
29-06-2000,45.5,9.7,9.6,92,56,0,0
30-06-2000,45.2,9.9,10.9,94,57,0,0
01-07-2000,41.7,9.9,10.2,92,60,0,0
02-07-2000,42.2,10,6.9,95,58,0,0
03-07-2000,48.3,10,12.7,92,65,0.01,0
04-07-2000,36.8,9.9,8.2,96,64,0,0
05-07-2000,44.5,9.7,8.6,93,63,0,0
06-07-2000,44,9.6,8.4,101,63,0,0
07-07-2000,40.9,9.9,9.1,98,66,0.07,0
08-07-2000,48.2,10,8.6,95,60,0,0
09-07-2000,46.7,10,6.3,91,65,0.01,0
10-07-2000,50.9,10,7.1,93,57,0.15,0
11-07-2000,53.8,9.9,8.1,94,60,0,0
12-07-2000,50.8,9.8,8.3,91,60,0.14,0
13-07-2000,55.1,10,8.8,94,58,0.23,0
14-07-2000,54.1,9.9,7.5,98,58,0,0
15-07-2000,50,10,10.3,99,68,0.03,0
16-07-2000,54.9,10,8.2,81,61,0.53,0
17-07-2000,60.2,7.9,8,77,60,0.17,0
18-07-2000,55.9,10,7.9,91,59,0,0
19-07-2000,52,10,7,91,57,0,0
20-07-2000,53.1,10,7.8,87,60,0,0
21-07-2000,51.4,10,10.2,90,57,0,0
22-07-2000,52.9,10,8.4,88,58,0,0
23-07-2000,45.8,9.9,7,97,60,0,0
24-07-2000,37.6,10,11.4,98,70,0,0
25-07-2000,42.3,9.9,9.2,93,63,0,0
26-07-2000,42,9.9,11,95,69,0,0
27-07-2000,47.2,9.9,8.1,94,61,0.08,0
28-07-2000,51.6,9.9,8.3,90,57,0,0
29-07-2000,49.4,10,8.6,91,59,0,0
30-07-2000,45.9,9.9,7.2,89,60,0,0
31-07-2000,45.3,9.9,7.1,91,53,0,0
01-08-2000,39,9.9,9.4,97,67,0,0
02-08-2000,44,9.9,8.1,96,64,0,0
03-08-2000,49.5,10,7,95,62,0.5,0
