,DATE,TEMP,DEWP,VISIB,WDSP,MAXTEMP,MINTEMP,PREC,SNF
93,2000-04-03,28.3,19.0,9.2,12.7,37,22,0,0
94,2000-04-04,45.8,21.3,9.9,8.1,74,22,0,0
95,2000-04-05,60.7,20.0,9.9,9.3,74,45,0,0
96,2000-04-06,53.0,26.4,9.9,9.1,71,39,0,0
97,2000-04-07,48.4,17.8,9.9,14.4,58,27,0,0
98,2000-04-08,38.9,14.3,9.9,7.3,59,23,0,0
99,2000-04-09,54.8,21.0,9.9,10.1,74,38,0,0
100,2000-04-10,54.9,22.8,9.9,14.0,63,42,T,0
101,2000-04-11,42.7,34.1,9.2,11.3,49,33,0.07,T
102,2000-04-12,43.4,30.1,9.9,6.8,68,28,0,0
103,2000-04-13,57.9,20.3,9.9,7.9,72,40,0,0
104,2000-04-14,62.1,19.8,9.9,11.0,74,37,0,0
105,2000-04-15,37.9,28.6,9.0,10.0,39,28,0.04,0.4
106,2000-04-16,39.7,27.8,9.1,6.3,63,25,0,0
107,2000-04-17,53.3,25.9,9.9,9.5,75,33,0,0
108,2000-04-18,58.8,24.7,9.1,13.6,78,40,0,0
109,2000-04-19,48.8,14.1,9.9,19.0,60,35,0,0
110,2000-04-20,46.1,25.1,9.9,8.0,64,33,0,0
111,2000-04-21,53.5,22.1,9.9,6.9,74,33,0,0
112,2000-04-22,55.6,29.2,9.9,10.1,71,41,T,0
113,2000-04-23,52.7,37.7,9.8,16.6,63,44,0.31,0
114,2000-04-24,52.1,38.1,9.5,6.6,69,37,T,0
115,2000-04-25,50.5,20.8,9.9,12.0,63,35,0,0
116,2000-04-26,56.0,25.4,9.9,6.5,76,35,0,0
117,2000-04-27,52.5,33.3,9.9,6.4,64,37,0,0
118,2000-04-28,50.3,32.0,9.9,8.1,68,35,0,0
119,2000-04-29,58.5,35.3,9.9,9.9,77,43,T,0
120,2000-04-30,43.5,33.7,9.8,21.4,46,35,0.02,0
121,2000-05-01,47.1,26.3,9.9,11.0,64,34,0,0
122,2000-05-02,50.0,30.8,9.9,7.5,68,34,0,0
123,2000-05-03,59.0,32.7,9.9,6.9,80,39,0,0
124,2000-05-04,64.7,38.0,9.9,7.8,84,44,0,0
125,2000-05-05,67.7,38.2,9.9,7.8,88,46,0,0
126,2000-05-06,70.6,27.0,9.9,10.2,81,57,0,0
127,2000-05-07,68.8,23.3,9.9,10.6,82,51,0,0
128,2000-05-08,49.7,38.5,8.2,10.3,52,37,0.94,0
129,2000-05-09,46.5,36.7,9.9,7.3,65,37,0,0
130,2000-05-10,58.5,40.2,9.9,11.0,78,43,0,0
131,2000-05-11,68.2,27.2,9.9,15.3,78,40,0,0
132,2000-05-12,45.7,19.0,9.9,12.9,56,31,0,0
133,2000-05-13,45.6,13.6,9.9,13.0,62,30,0,0
134,2000-05-14,55.4,21.9,9.9,8.1,71,40,0,0
135,2000-05-15,64.7,26.4,9.9,8.8,84,44,0,0
136,2000-05-16,66.9,21.9,9.9,13.6,80,47,0,0
137,2000-05-17,52.9,23.5,9.9,13.3,63,41,0.04,0
138,2000-05-18,44.7,32.0,9.9,18.9,52,39,T,0
139,2000-05-19,48.4,33.4,9.9,5.9,66,36,0,0
140,2000-05-20,55.7,35.6,9.9,7.8,68,44,T,0
141,2000-05-21,59.3,35.8,9.9,7.4,76,40,0,0
142,2000-05-22,64.6,36.7,9.9,6.6,82,46,0,0
